y,x,idea,beta,alpha,z_last,abs_z,adf_pval,nobs,bucket_y,bucket_x,is_bahrain_pair,is_ksa_pair,ksa_cross
EGYPT 8.7002 03/01/49,ARAMCO 4 3/4 06/02/30,Short Y / Long X,2.62,255.78,-1.29,1.29,0.1465,122,HY,IG,False,False,False
KSA 4 5/8 10/04/47,OMAN 6 08/01/29,Short Y / Long X,1.24,20.8,-1.29,1.29,0.1541,122,IG,IG,False,True,True
ARAMCO 4 1/4 04/16/39,TAQAUH 3.4 04/29/51,Short Y / Long X,0.98,2.37,-1.29,1.29,0.16,122,IG,QUASI,False,False,False
OMAN 7 3/8 10/28/32,KSA 2 3/4 02/03/32,Long Y / Short X,1.0,31.51,1.29,1.29,0.1905,122,IG,IG,False,True,True
OMAN 4 3/4 06/15/26,TAQAUH 4 7/8 04/23/30,Long Y / Short X,0.81,25.36,1.29,1.29,0.1989,122,IG,QUASI,False,False,False
QATAR 4.4 04/16/50,KSA 2 3/4 02/03/32,Long Y / Short X,1.18,6.87,1.28,1.28,0.0237,122,IG,IG,False,True,True
QATAR 4.4 04/16/50,QPETRO 2 1/4 07/12/31,Long Y / Short X,1.11,24.86,1.28,1.28,0.0249,122,IG,IG,False,False,False
KSA 5 3/8 01/13/31,MOROC 4 12/15/50,Short Y / Long X,0.79,-71.11,-1.28,1.28,0.0264,122,IG,HY,False,True,True
KSA 5 01/18/53,PIFKSA 4 3/4 02/14/30,Short Y / Long X,1.0,68.08,-1.28,1.28,0.0309,122,IG,IG,False,True,False
MOROC 6 1/2 09/08/33,KUWIB 4.136 10/09/30,Long Y / Short X,0.84,91.15,1.28,1.28,0.0408,122,HY,IG,False,False,False
DPWDU 4.7 09/30/49,ADNOCM 5 1/8 09/11/54,Long Y / Short X,0.99,23.55,1.28,1.28,0.0444,121,QUASI,IG,False,False,False
ARAMCO 2 1/4 11/24/30,ADNOCM 4 1/2 09/11/34,Long Y / Short X,0.86,15.23,1.28,1.28,0.0635,122,IG,IG,False,False,False
KSA 5 3/8 01/13/31,UAE 2 10/19/31,Short Y / Long X,0.66,65.94,-1.28,1.28,0.0637,122,IG,IG,False,True,True
KSA 2 1/4 02/02/33,ADNOCM 4 1/4 09/11/29,Short Y / Long X,0.73,50.74,-1.28,1.28,0.0795,122,IG,IG,False,True,True
QATAR 4 1/2 02/27/28,PIFKSA 5 09/15/35,Long Y / Short X,1.23,-116.76,1.28,1.28,0.0806,122,IG,IG,False,True,True
PIFKSA 5 1/4 10/13/32,QATAR 4 03/14/29,Short Y / Long X,1.01,61.51,-1.28,1.28,0.0812,122,IG,IG,False,True,True
OMAN 5 5/8 01/17/28,ADNOCM 4 1/4 09/11/29,Long Y / Short X,0.5,71.68,1.28,1.28,0.0865,122,IG,IG,False,False,False
PIFKSA 5 1/8 02/14/53,TAQAUH 4 7/8 04/23/30,Short Y / Long X,0.82,122.18,-1.28,1.28,0.088,121,IG,QUASI,False,True,True
KSA 2 1/4 02/02/33,OMAN 6 08/01/29,Short Y / Long X,1.03,-16.19,-1.28,1.28,0.0928,122,IG,IG,False,True,True
OMAN 4 3/4 06/15/26,PIFKSA 4 3/4 02/14/30,Long Y / Short X,1.1,-26.62,1.28,1.28,0.0955,122,IG,IG,False,True,True
EGYPT 7 1/2 02/16/61,KSA 2 1/4 02/02/33,Long Y / Short X,2.31,270.8,1.28,1.28,0.1152,122,HY,IG,False,True,True
PIFKSA 4 3/4 02/14/30,KSA 4 5/8 10/04/47,Long Y / Short X,0.9,-42.71,1.28,1.28,0.1245,122,IG,IG,False,True,False
QATAR 3 3/4 04/16/30,RASGAS 5.838 09/30/27,Short Y / Long X,0.3,30.02,-1.28,1.28,0.132,122,IG,OTHER,False,False,False
KSA 5 1/2 10/25/32,KUWIB 4.016 10/09/28,Short Y / Long X,0.71,50.14,-1.28,1.28,0.139,122,IG,IG,False,True,True
ARAMCO 5 7/8 07/17/64,KSA 5 1/2 10/25/32,Long Y / Short X,1.28,85.19,1.28,1.28,0.1445,122,IG,IG,False,True,True
ARAMCO 3 1/4 11/24/50,TAQAUH 4 10/03/49,Short Y / Long X,1.01,32.4,-1.28,1.28,0.1714,121,IG,QUASI,False,False,False
KSA 4 3/4 01/18/28,KSA 5 04/17/49,Long Y / Short X,0.58,-19.06,1.28,1.28,0.1842,122,IG,IG,False,True,False
KSA 4 1/2 10/26/46,PIFKSA 5 3/8 01/29/54,Short Y / Long X,0.98,-22.42,-1.28,1.28,0.1896,122,IG,IG,False,True,False
KSA 3 3/4 01/21/55,DPWDU 6.85 07/02/37,Short Y / Long X,0.58,85.67,-1.27,1.27,0.0005,122,IG,QUASI,False,True,True
KSA 5 3/4 01/16/54,KSA 5 1/4 01/16/50,Long Y / Short X,0.88,30.5,1.27,1.27,0.0018,122,IG,IG,False,True,False
KSA 2 3/4 02/03/32,UAE 4.917 09/25/33,Short Y / Long X,0.78,54.64,-1.27,1.27,0.0051,122,IG,IG,False,True,True
ARAMCO 5 3/4 07/17/54,KSA 5 01/18/53,Long Y / Short X,1.05,9.5,1.27,1.27,0.0222,122,IG,IG,False,True,True
MOROC 6 1/2 09/08/33,QATAR 3 5/8 11/10/28,Long Y / Short X,0.63,122.24,1.27,1.27,0.026,105,HY,IG,False,False,False
KSA 5 01/18/53,TAQAUH 4 7/8 04/23/30,Short Y / Long X,0.79,111.36,-1.27,1.27,0.0374,122,IG,QUASI,False,True,True
KSA 5 01/16/34,QATAR 6.4 01/20/40,Short Y / Long X,0.99,9.24,-1.27,1.27,0.0465,122,IG,IG,False,True,True
PIFKSA 5 1/4 01/29/34,TAQAUH 4.696 04/24/33,Short Y / Long X,0.7,55.61,-1.27,1.27,0.0548,121,IG,QUASI,False,True,True
KSA 2 1/4 02/02/33,UAE 3 1/4 10/19/61,Short Y / Long X,0.63,27.23,-1.27,1.27,0.0751,122,IG,IG,False,True,True
EGYPT 8 7/8 05/29/50,EGYPT 7.903 02/21/48,Short Y / Long X,1.05,-13.23,-1.27,1.27,0.0755,122,HY,HY,False,False,False
KSA 4 3/8 04/16/29,QATAR 4 1/2 02/27/28,Short Y / Long X,0.75,48.88,-1.27,1.27,0.0892,122,IG,IG,False,True,True
JORDAN 7 1/2 01/13/29,MTVD 6.85 01/15/40,Long Y / Short X,0.8,63.54,1.27,1.27,0.0897,122,HY,OTHER,False,False,False
OMAN 4 3/4 06/15/26,QPETRO 3 1/8 07/12/41,Long Y / Short X,0.94,-34.59,1.27,1.27,0.1217,122,IG,IG,False,False,False
QATAR 4.817 03/14/49,QATAR 9 3/4 06/15/30,Long Y / Short X,1.09,56.66,1.27,1.27,0.1287,122,IG,IG,False,False,False
KSA 4 3/4 01/18/28,KSA 2 1/4 02/02/33,Long Y / Short X,0.75,-0.63,1.27,1.27,0.1365,122,IG,IG,False,True,False
PIFKSA 5 1/8 02/14/53,OMAN 6 1/4 01/25/31,Short Y / Long X,1.14,48.37,-1.27,1.27,0.1483,121,IG,IG,False,True,True
PIFKSA 5 3/8 10/13/2122,QATAR 4 7/8 02/27/35,Short Y / Long X,1.31,156.06,-1.27,1.27,0.1506,122,IG,IG,False,True,True
KSA 5 5/8 01/13/35,PIFKSA 5 1/8 02/14/53,Long Y / Short X,0.53,12.54,1.27,1.27,0.1649,121,IG,IG,False,True,False
OMAN 4 3/4 06/15/26,QATAR 4.817 03/14/49,Long Y / Short X,0.9,-15.92,1.27,1.27,0.1734,122,IG,IG,False,False,False
KSA 2 3/4 02/03/32,ADNOCM 5 1/8 09/11/54,Short Y / Long X,0.59,4.24,-1.26,1.26,0.0,121,IG,IG,False,True,True
KSA 4 7/8 07/18/33,TAQAUH 6 1/2 10/27/36,Short Y / Long X,0.62,41.23,-1.26,1.26,0.0011,122,IG,QUASI,False,True,True
KSA 2 3/4 02/03/32,QATAR 4 03/14/29,Short Y / Long X,0.88,43.76,-1.26,1.26,0.0174,122,IG,IG,False,True,True
OMAN 6 08/01/29,KSA 2 3/4 02/03/32,Long Y / Short X,0.69,51.9,1.26,1.26,0.0187,122,IG,IG,False,True,True
KSA 5 3/8 01/13/31,UAE 4.951 07/07/52,Short Y / Long X,0.6,24.09,-1.26,1.26,0.0202,122,IG,IG,False,True,True
KSA 2 1/4 02/02/33,TAQAUH 4 7/8 04/23/30,Short Y / Long X,0.61,55.02,-1.26,1.26,0.038,122,IG,QUASI,False,True,True
QPETRO 1 3/8 09/12/26,JORDAN 7 3/4 01/15/28,Short Y / Long X,0.54,-51.63,-1.26,1.26,0.0421,122,IG,HY,False,False,False
KSA 5 01/16/34,QATAR 4 1/2 02/27/28,Short Y / Long X,0.62,78.89,-1.26,1.26,0.0477,122,IG,IG,False,True,True
PIFKSA 5 1/4 01/29/34,QATAR 5.103 04/23/48,Short Y / Long X,0.75,38.69,-1.26,1.26,0.0619,122,IG,IG,False,True,True
OMAN 5 5/8 01/17/28,UAE 2 10/19/31,Long Y / Short X,0.48,86.83,1.26,1.26,0.0741,122,IG,IG,False,False,False
KSA 5 1/2 10/25/32,QATAR 9 3/4 06/15/30,Short Y / Long X,0.79,54.91,-1.26,1.26,0.0751,122,IG,IG,False,True,True
OMAN 5 5/8 01/17/28,PIFKSA 5 09/15/35,Long Y / Short X,0.62,25.78,1.26,1.26,0.0903,122,IG,IG,False,True,True
OMAN 5 5/8 01/17/28,KSA 3 1/4 10/22/30,Long Y / Short X,0.63,53.7,1.26,1.26,0.1098,97,IG,IG,False,True,True
OMAN 5 5/8 01/17/28,TAQAUH 4 3/4 03/09/37,Long Y / Short X,0.41,60.49,1.26,1.26,0.1153,122,IG,QUASI,False,False,False
KSA 5 1/4 01/16/50,TAQAUH 4 3/8 01/24/29,Short Y / Long X,0.84,101.71,-1.26,1.26,0.1478,122,IG,QUASI,False,True,True
KSA 5 01/18/53,KUWIB 4.652 10/09/35,Short Y / Long X,1.28,46.41,-1.26,1.26,0.1664,122,IG,IG,False,True,True
PIFKSA 5 5/8 07/29/34,QATAR 4 1/2 02/27/28,Short Y / Long X,0.79,92.02,-1.26,1.26,0.1816,122,IG,IG,False,True,True
KSA 5 3/4 01/16/54,PIFKSA 5 3/8 01/29/54,Short Y / Long X,0.91,5.09,-1.25,1.25,0.0002,122,IG,IG,False,True,False
QATAR 4.4 04/16/50,QATAR 4 1/2 02/27/28,Short Y / Long X,1.04,70.09,-1.25,1.25,0.0002,122,IG,IG,False,False,False
PIFKSA 5 1/4 01/29/34,KSA 5 04/17/49,Long Y / Short X,0.86,-17.77,1.25,1.25,0.0004,122,IG,IG,False,True,False
KSA 5 3/8 01/13/31,ARAMCO 4 3/8 04/16/49,Short Y / Long X,0.69,-19.11,-1.25,1.25,0.0024,122,IG,IG,False,True,True
DPWDU 6.85 07/02/37,KSA 2 3/4 02/03/32,Long Y / Short X,1.78,-11.59,1.25,1.25,0.003,122,QUASI,IG,False,True,True
MOROC 4 12/15/50,QATAR 9 3/4 06/15/30,Long Y / Short X,0.78,167.48,1.25,1.25,0.0042,122,HY,IG,False,False,False
JORDAN 7 1/2 01/13/29,KSA 2 3/4 02/03/32,Long Y / Short X,0.94,134.35,1.25,1.25,0.0106,122,HY,IG,False,True,True
KSA 3 1/4 10/22/30,UAE 4.05 07/07/32,Long Y / Short X,0.81,45.21,1.25,1.25,0.0228,97,IG,IG,False,True,True
KSA 5 3/4 01/16/54,ARAMCO 3 1/4 11/24/50,Short Y / Long X,0.81,37.94,-1.25,1.25,0.0234,122,IG,IG,False,True,True
KSA 5 3/4 01/16/54,PIFKSA 4 3/4 02/14/30,Short Y / Long X,0.94,76.16,-1.25,1.25,0.0242,122,IG,IG,False,True,False
MOROC 6 1/2 09/08/33,KUWIB 4.652 10/09/35,Long Y / Short X,0.81,76.89,1.25,1.25,0.0312,122,HY,IG,False,False,False
OMAN 5 5/8 01/17/28,TAQAUH 3.4 04/29/51,Long Y / Short X,0.42,51.26,1.25,1.25,0.0391,122,IG,QUASI,False,False,False
OMAN 6 3/4 01/17/48,KSA 3 3/4 01/21/55,Long Y / Short X,0.83,46.55,1.25,1.25,0.0407,122,IG,IG,False,True,True
ARAMCO 2 1/4 11/24/30,UAE 2 10/19/31,Long Y / Short X,0.93,63.56,1.25,1.25,0.0465,122,IG,IG,False,False,False
KSA 3 1/4 10/22/30,UAE 4.857 07/02/34,Long Y / Short X,0.92,28.05,1.25,1.25,0.0503,97,IG,IG,False,True,True
KSA 5 3/4 01/16/54,PIFKSA 5 5/8 07/29/34,Short Y / Long X,1.13,31.04,-1.25,1.25,0.0604,122,IG,IG,False,True,False
ARAMCO 2 1/4 11/24/30,QATAR 4.817 03/14/49,Long Y / Short X,0.86,4.64,1.25,1.25,0.0694,122,IG,IG,False,False,False
ARAMCO 5 7/8 07/17/64,ADNOCM 4 1/4 09/11/29,Short Y / Long X,0.95,142.27,-1.25,1.25,0.0735,122,IG,IG,False,False,False
KSA 4 5/8 10/04/47,OMAN 6 1/4 01/25/31,Short Y / Long X,1.05,37.96,-1.25,1.25,0.0779,122,IG,IG,False,True,True
MOROC 6 1/2 09/08/33,UAE 4.05 07/07/32,Long Y / Short X,0.55,129.81,1.25,1.25,0.1147,122,HY,IG,False,False,False
KSA 5 3/8 01/13/31,UAE 4.917 09/25/33,Short Y / Long X,0.66,62.01,-1.25,1.25,0.1215,122,IG,IG,False,True,True
QATAR 4 5/8 06/02/46,ADNOCM 5 1/8 09/11/54,Long Y / Short X,0.75,3.14,1.25,1.25,0.1271,121,IG,IG,False,False,False
KSA 3 3/4 01/21/55,KSA 3.45 02/02/61,Long Y / Short X,1.07,-22.51,1.25,1.25,0.1671,122,IG,IG,False,True,False
KSA 2 1/4 02/02/33,KSA 3 5/8 03/04/28,Short Y / Long X,0.97,30.69,-1.25,1.25,0.1829,122,IG,IG,False,True,False
DPWDU 4.7 09/30/49,QATAR 4 03/14/29,Long Y / Short X,1.4,94.85,1.25,1.25,0.1865,122,QUASI,IG,False,False,False
PIFKSA 5 1/4 01/29/30,QPETRO 2 1/4 07/12/31,Long Y / Short X,0.81,41.57,1.25,1.25,0.1979,122,IG,IG,False,True,True
PIFKSA 4 3/4 02/14/30,QPETRO 2 1/4 07/12/31,Long Y / Short X,1.03,21.06,1.24,1.24,0.0,122,IG,IG,False,True,True
ARAMCO 4 3/8 04/16/49,KSA 2 3/4 02/03/32,Long Y / Short X,1.18,54.79,1.24,1.24,0.0,122,IG,IG,False,True,True
KSA 3 1/4 10/22/30,QPETRO 2 1/4 07/12/31,Long Y / Short X,0.9,11.71,1.24,1.24,0.0002,97,IG,IG,False,True,True
KSA 5 04/17/49,DPWDU 6.85 07/02/37,Short Y / Long X,0.61,72.15,-1.24,1.24,0.0024,122,IG,QUASI,False,True,True
PIFKSA 5 1/4 10/13/32,QATAR 4 1/2 04/23/28,Short Y / Long X,1.19,59.55,-1.24,1.24,0.0072,122,IG,IG,False,True,True
ISRAEL 6 1/2 11/06/31,MOROC 5 1/2 12/11/42,Short Y / Long X,0.72,-24.77,-1.24,1.24,0.0131,122,IG,HY,False,False,False
KSA 5 3/8 01/13/31,QATAR 4 03/14/29,Short Y / Long X,0.78,51.52,-1.24,1.24,0.0158,122,IG,IG,False,True,True
QATAR 4.4 04/16/50,PIFKSA 5 1/4 10/13/32,Long Y / Short X,1.08,-10.35,1.24,1.24,0.0225,122,IG,IG,False,True,True
OMAN 5 5/8 01/17/28,TAQAUH 4 10/03/49,Long Y / Short X,0.34,61.21,1.24,1.24,0.0348,121,IG,QUASI,False,False,False
QATAR 4 5/8 06/02/46,QATAR 4 5/8 05/29/29,Long Y / Short X,0.99,63.0,1.24,1.24,0.0515,122,IG,IG,False,False,False
KSA 2 3/4 02/03/32,UAE 4.05 07/07/32,Short Y / Long X,0.81,52.7,-1.24,1.24,0.0534,122,IG,IG,False,True,True
KSA 3 1/4 10/22/30,TAQAUH 4 10/03/49,Long Y / Short X,0.74,-13.52,1.24,1.24,0.0582,96,IG,QUASI,False,True,True
MOROC 5.95 03/08/28,QATAR 4 1/2 02/27/28,Long Y / Short X,0.37,95.75,1.24,1.24,0.0917,122,HY,IG,False,False,False
OMAN 7 01/25/51,MOROC 3 12/15/32,Short Y / Long X,0.94,49.23,-1.24,1.24,0.1258,122,IG,HY,False,False,False
OMAN 4 3/4 06/15/26,PIFKSA 5 01/29/29,Long Y / Short X,1.37,-50.78,1.24,1.24,0.1355,122,IG,IG,False,True,True
KSA 4 7/8 07/18/33,QATAR 6.4 01/20/40,Short Y / Long X,1.07,1.52,-1.24,1.24,0.1406,122,IG,IG,False,True,True
EGYPT 8 3/4 09/30/51,KSA 2 1/4 02/02/33,Long Y / Short X,2.5,264.61,1.24,1.24,0.1555,122,HY,IG,False,True,True
PIFKSA 4 3/4 02/14/30,ARAMCO 3 1/2 04/16/29,Short Y / Long X,0.91,25.57,-1.24,1.24,0.1585,122,IG,IG,False,True,True
ARAMCO 5 3/4 07/17/54,KSA 3 1/4 10/22/30,Short Y / Long X,1.16,93.87,-1.24,1.24,0.1614,97,IG,IG,False,True,True
OMAN 4 3/4 06/15/26,ADNOCM 4 1/4 09/11/29,Long Y / Short X,0.94,21.96,1.24,1.24,0.1631,122,IG,IG,False,False,False
KSA 5 01/16/34,QATAR 4 5/8 06/02/46,Short Y / Long X,0.6,37.57,-1.24,1.24,0.1835,122,IG,IG,False,True,True
MOROC 6 1/2 09/08/33,UAE 4.951 07/07/52,Long Y / Short X,0.47,100.77,1.24,1.24,0.1903,122,HY,IG,False,False,False
QATAR 4.4 04/16/50,QATAR 3 3/4 04/16/30,Long Y / Short X,0.96,61.5,1.24,1.24,0.1906,122,IG,IG,False,False,False
MOROC 5 1/2 12/11/42,TAQAUH 4 10/03/49,Long Y / Short X,0.57,116.38,1.24,1.24,0.1961,121,HY,QUASI,False,False,False
QATAR 4 7/8 02/27/35,QATAR 4 1/2 02/27/28,Short Y / Long X,0.67,28.54,-1.24,1.24,0.1962,122,IG,IG,False,False,False
TAQAUH 4 3/8 10/09/31,UAE 4.05 07/07/32,Long Y / Short X,1.07,38.11,1.23,1.23,0.0017,122,QUASI,IG,False,False,False
ARAMCO 3 1/2 11/24/70,KSA 4 7/8 07/18/33,Short Y / Long X,1.31,49.26,-1.23,1.23,0.008,122,IG,IG,False,True,True
JORDAN 7 1/2 01/13/29,ARAMCO 3 1/4 11/24/50,Long Y / Short X,0.6,118.66,1.23,1.23,0.0233,122,HY,IG,False,False,False
QATAR 4 1/2 02/27/28,UAE 2 10/19/31,Long Y / Short X,0.85,7.75,1.23,1.23,0.0238,122,IG,IG,False,False,False
KSA 5 01/16/34,UAE 2 7/8 10/19/41,Short Y / Long X,0.59,45.74,-1.23,1.23,0.0301,122,IG,IG,False,True,True
PIFKSA 5 1/4 10/13/32,PIFKSA 5 09/15/35,Short Y / Long X,1.3,-53.22,-1.23,1.23,0.0315,122,IG,IG,False,True,False
KSA 4 7/8 07/18/33,QATAR 4 1/2 02/27/28,Short Y / Long X,0.65,77.34,-1.23,1.23,0.0452,122,IG,IG,False,True,True
KSA 5 3/8 01/13/31,KSA 4 3/8 04/16/29,Short Y / Long X,0.88,22.59,-1.23,1.23,0.0505,122,IG,IG,False,True,False
EGYPT 8 1/2 01/31/47,EGYPT 9.45 02/04/33,Short Y / Long X,0.9,172.91,-1.23,1.23,0.0511,122,HY,HY,False,False,False
OMAN 6 08/01/29,ARAMCO 3 1/4 11/24/50,Long Y / Short X,0.49,32.72,1.23,1.23,0.0714,122,IG,IG,False,False,False
KSA 4 3/4 01/18/28,ARAMCO 5 7/8 07/17/64,Long Y / Short X,0.56,-40.46,1.23,1.23,0.0914,122,IG,IG,False,True,True
OMAN 5 5/8 01/17/28,KSA 4 3/4 01/16/30,Long Y / Short X,0.65,51.54,1.23,1.23,0.0914,122,IG,IG,False,True,True
ARAMCO 5 1/4 07/17/34,KSA 4 7/8 07/18/33,Long Y / Short X,1.05,10.79,1.23,1.23,0.1181,122,IG,IG,False,True,True
MOROC 5.95 03/08/28,MOROC 5 1/2 12/11/42,Long Y / Short X,0.54,7.65,1.23,1.23,0.1315,122,HY,HY,False,False,False
KSA 4 5/8 10/04/47,KUWIB 4.652 10/09/35,Short Y / Long X,1.26,39.44,-1.23,1.23,0.1394,122,IG,IG,False,True,True
OMAN 4 3/4 06/15/26,QATAR 5.103 04/23/48,Long Y / Short X,0.87,-10.96,1.23,1.23,0.1915,122,IG,IG,False,False,False
PIFKSA 5 01/29/29,KSA 4 5/8 10/04/47,Long Y / Short X,0.73,-17.45,1.23,1.23,0.1953,122,IG,IG,False,True,False
EGYPT 8.15 11/20/59,KSA 2 3/4 02/03/32,Long Y / Short X,1.93,339.18,1.23,1.23,0.1983,122,HY,IG,False,True,True
PIFKSA 5 3/8 10/13/2122,TAQAUH 4 10/03/49,Short Y / Long X,1.0,96.49,-1.22,1.22,0.0005,121,IG,QUASI,False,True,True
OMAN 6 08/01/29,QATAR 9 3/4 06/15/30,Long Y / Short X,0.68,78.63,1.22,1.22,0.0052,122,IG,IG,False,False,False
KSA 4 7/8 07/18/33,DPWDU 5 5/8 09/25/48,Short Y / Long X,0.46,26.32,-1.22,1.22,0.0096,122,IG,QUASI,False,True,True
KSA 4 1/2 10/26/46,TAQAUH 4 7/8 04/23/30,Short Y / Long X,0.83,95.91,-1.22,1.22,0.0175,122,IG,QUASI,False,True,True
KSA 5 5/8 01/13/35,ARAMCO 5 7/8 07/17/64,Long Y / Short X,0.55,-5.17,1.22,1.22,0.021,122,IG,IG,False,True,True
EGYPT 6.588 02/21/28,ESCWPC 4.45 08/01/35,Short Y / Long X,1.29,44.63,-1.22,1.22,0.036,122,HY,OTHER,False,False,False
QPETRO 2 1/4 07/12/31,OMAN 6 08/01/29,Short Y / Long X,1.21,-58.0,-1.22,1.22,0.0363,122,IG,IG,False,False,False
KSA 2 1/4 02/02/33,KSA 5 1/2 10/25/32,Long Y / Short X,0.98,6.82,1.22,1.22,0.0429,122,IG,IG,False,True,False
OMAN 5 5/8 01/17/28,QATAR 6.4 01/20/40,Long Y / Short X,0.64,45.59,1.22,1.22,0.0447,122,IG,IG,False,False,False
OMAN 7 01/25/51,QATAR 4 1/2 02/27/28,Short Y / Long X,0.72,160.05,-1.22,1.22,0.0469,122,IG,IG,False,False,False
PIFKSA 4 7/8 02/14/35,QATAR 5.103 04/23/48,Short Y / Long X,0.68,50.72,-1.22,1.22,0.0719,122,IG,IG,False,True,True
PIFKSA 4 7/8 02/14/35,KSA 3 1/4 11/17/51,Long Y / Short X,0.7,11.9,1.22,1.22,0.0769,122,IG,IG,False,True,False
KSA 4 1/2 10/26/46,PIFKSA 5 1/4 01/29/30,Short Y / Long X,1.19,32.76,-1.22,1.22,0.0877,122,IG,IG,False,True,False
EGYPT 8 5/8 02/04/30,QATAR 9 3/4 06/15/30,Long Y / Short X,2.14,166.24,1.22,1.22,0.1181,122,HY,IG,False,False,False
ARAMCO 5 7/8 07/17/64,PIFKSA 4 3/4 02/14/30,Short Y / Long X,1.03,102.6,-1.22,1.22,0.1216,122,IG,IG,False,True,True
PIFKSA 5 1/8 02/14/53,QATAR 4 03/14/29,Short Y / Long X,1.06,127.57,-1.22,1.22,0.1237,121,IG,IG,False,True,True
QATAR 4 1/2 02/27/28,MOROC 4 12/15/50,Long Y / Short X,0.97,-159.3,1.22,1.22,0.124,122,IG,HY,False,False,False
UAE 2 10/19/31,ADNOCM 5 1/8 09/11/54,Long Y / Short X,0.7,-61.62,1.22,1.22,0.136,121,IG,IG,False,False,False
EGYPT 7 1/2 02/16/61,KSA 2 3/4 02/03/32,Long Y / Short X,1.75,345.97,1.22,1.22,0.1483,122,HY,IG,False,True,True
PIFKSA 4 3/4 02/14/30,QATAR 9 3/4 06/15/30,Long Y / Short X,1.04,48.53,1.22,1.22,0.1637,122,IG,IG,False,True,True
QATAR 4 1/2 02/27/28,QATAR 6.4 01/20/40,Long Y / Short X,1.27,-79.8,1.22,1.22,0.1699,122,IG,IG,False,False,False
ARAMCO 3 1/2 04/16/29,MOROC 4 12/15/50,Long Y / Short X,0.93,-106.25,1.22,1.22,0.173,122,IG,HY,False,False,False
OMAN 4 3/4 06/15/26,UAE 2 10/19/31,Long Y / Short X,0.92,49.1,1.22,1.22,0.1777,122,IG,IG,False,False,False
OMAN 6 1/4 01/25/31,ESCWPC 4.45 08/01/35,Short Y / Long X,0.37,68.64,-1.22,1.22,0.1867,122,IG,OTHER,False,False,False
PIFKSA 4 3/4 02/14/30,KSA 2 3/4 02/03/32,Long Y / Short X,1.07,5.72,1.22,1.22,0.187,122,IG,IG,False,True,False
PIFKSA 5 1/4 10/13/32,QATAR 4.817 03/14/49,Short Y / Long X,0.85,18.7,-1.21,1.21,0.005,122,IG,IG,False,True,True
ARAMCO 5 7/8 07/17/64,TAQAUH 4 7/8 04/23/30,Short Y / Long X,0.84,145.2,-1.21,1.21,0.0122,122,IG,QUASI,False,False,False
KSA 2 3/4 02/03/32,QATAR 4.817 03/14/49,Short Y / Long X,0.73,8.54,-1.21,1.21,0.0134,122,IG,IG,False,True,True
KSA 5 3/8 01/13/31,DPWDU 6.85 07/02/37,Short Y / Long X,0.44,26.64,-1.21,1.21,0.0135,122,IG,QUASI,False,True,True
ARAMCO 6 3/8 06/02/55,QATAR 4 1/2 02/27/28,Short Y / Long X,0.85,161.72,-1.21,1.21,0.0175,122,IG,IG,False,False,False
KSA 5 01/18/53,PIFKSA 5 1/8 02/14/53,Short Y / Long X,0.96,-5.56,-1.21,1.21,0.0406,121,IG,IG,False,True,False
ARAMCO 5 3/4 07/17/54,QATAR 4.4 04/16/50,Short Y / Long X,1.02,73.47,-1.21,1.21,0.0643,122,IG,IG,False,False,False
KSA 5 01/16/34,QATAR 5.103 04/23/48,Short Y / Long X,0.58,39.36,-1.21,1.21,0.0786,122,IG,IG,False,True,True
UAE 2 10/19/31,QATAR 9 3/4 06/15/30,Long Y / Short X,1.06,-14.24,1.21,1.21,0.0895,122,IG,IG,False,False,False
KSA 5 3/8 01/13/31,ARAMCO 4 1/4 04/16/39,Short Y / Long X,0.67,4.28,-1.21,1.21,0.0971,122,IG,IG,False,True,True
PIFKSA 5 3/8 10/13/2122,OMAN 6 08/01/29,Short Y / Long X,1.26,86.69,-1.21,1.21,0.1076,122,IG,IG,False,True,True
KSA 2 1/4 02/02/33,MOROC 4 12/15/50,Short Y / Long X,0.87,-78.79,-1.21,1.21,0.12,122,IG,HY,False,True,True
ARAMCO 4 1/4 04/16/39,QATAR 4 1/2 02/27/28,Short Y / Long X,0.94,93.02,-1.21,1.21,0.1643,122,IG,IG,False,False,False
KSA 2 1/4 02/02/33,PIFKSA 4 3/4 02/14/30,Short Y / Long X,0.75,24.46,-1.21,1.21,0.1696,122,IG,IG,False,True,False
ARAMCO 4 1/4 04/16/39,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.63,53.93,-1.21,1.21,0.1854,121,IG,QUASI,False,False,False
KSA 4 3/4 01/18/28,KSA 4 5/8 10/04/47,Long Y / Short X,0.59,-19.53,1.21,1.21,0.1858,122,IG,IG,False,True,False
UAE 4.951 07/07/52,TAQAUH 6 1/2 10/27/36,Short Y / Long X,1.05,9.08,-1.2,1.2,0.0001,122,IG,QUASI,False,False,False
KSA 5 01/16/34,TAQAUH 4 3/8 10/09/31,Short Y / Long X,0.59,52.3,-1.2,1.2,0.0009,122,IG,QUASI,False,True,True
PIFKSA 5 1/8 02/14/53,KSA 3 1/4 11/17/51,Long Y / Short X,0.96,24.72,1.2,1.2,0.0032,121,IG,IG,False,True,False
JORDAN 7 1/2 01/13/29,TAQAUH 4 10/03/49,Long Y / Short X,0.73,122.3,1.2,1.2,0.0189,121,HY,QUASI,False,False,False
